wavelength	flux
1.57	1466.1902
1.82	2619.1436
2.0700002	2044.4097
2.3200002	3404.888
2.5700002	522.86176
2.8200002	1977.1873
3.0700002	1819.4794
3.3200002	3948.537
3.5700002	2654.9521
3.8200002	2885.968
4.07	5258.506
4.32	3914.267
4.57	2840.4587
4.82	4366.817
5.07	4843.652
5.32	3845.8735
5.57	6222.2627
5.82	4357.595
6.07	5781.576
6.32	5738.561
6.5699997	3552.6257
6.8199997	3319.6545
7.0699997	5242.46
7.3199997	4725.0728
7.5699997	4448.1416
7.8199997	2808.1658
8.07	3146.5164
8.32	5182.2017
8.57	2716.2356
8.82	3484.3755
9.07	2976.409
9.32	2908.7559
9.57	3291.538
9.82	2926.9053
10.07	6226.932
10.32	7906.626
10.57	5051.062
10.82	3884.2993
11.07	3690.0652
11.32	3800.6233
11.57	3875.0469
11.82	3129.0762
12.07	2625.1992
12.32	3595.618
12.57	2232.9902
12.82	1593.4858
13.07	3127.1055
13.32	2317.4512
13.57	3140.39
13.82	2349.6646
14.07	3626.1497
14.32	3544.5432
14.57	3967.073
14.82	12031.952
15.07	5037.761
15.32	7889.051
15.57	2891.8328
15.82	4778.196
16.07	4639.4595
16.32	5155.5967
16.57	3556.2375
16.82	15983.567
17.07	79971.62
17.32	31925.46
17.57	41617.25
17.82	32799.52
18.07	56108.355
18.32	17702.111
18.57	25912.898
18.82	54799.426
19.07	20042.348
19.32	59596.508
19.57	49809.996
19.82	14094.59
20.07	34676.586
20.32	41934.562
20.57	10117.182
20.82	14358.058
21.07	34341.37
21.32	9388.347
21.57	8523.789
21.82	16343.839
22.07	19524.385
22.32	17651.99
22.57	23188.312
22.82	15679.01
23.07	6099.8774
23.32	9332.44
23.57	7787.4023
23.82	7909.64
24.07	13120.234
24.32	18686.432
24.57	11308.521
24.82	7270.217
25.07	8936.32
25.32	11527.697
25.57	30575.002
25.820002	33991.31
26.070002	11002.794
26.320002	6828.6157
26.570002	12446.62
26.820002	2838.387
27.070002	8815.271
27.320002	13507.195
27.570002	11559.136
27.820002	10127.675
28.070002	4975.8438
28.320002	34616.66
28.570002	29031.707
28.820002	2919.0781
29.070002	6256.207
29.320002	6289.1772
29.570002	7482.3774
29.820002	1984.6836
30.070002	6311.096
30.320002	168807.89
30.570002	27041.512
30.820002	5139.258
31.070002	2239.3003
31.320002	7905.653
31.570002	11344.894
31.820002	6700.235
32.070004	8431.052
32.320004	2447.9885
32.570004	1870.8612
32.820004	3456.138
33.070004	1837.309
33.320004	12957.195
33.570004	27064.395
33.820004	4377.8643
34.070004	5354.8867
34.570004	10596.441
34.820004	6537.259
35.070004	6211.2207
35.320004	5905.891
35.570004	2714.7573
35.820004	9761.925
36.070004	3315.0059
36.320004	6722.745
36.570004	17296.344
36.820004	10939.985
37.070004	453.2008
37.320004	704.9576
38.070004	1370.8326
38.320004	2188.224
39.320004	149.27702
39.820004	1430.1567
40.070004	2559.8772
41.070004	850.03
41.320004	551.20667
41.570004	3286.9148
41.820004	829.16583
42.070004	65.274796
42.570004	535.35034
42.820004	1757.4523
43.070004	1875.6921
43.320004	2035.6857
43.570004	3721.7397
43.820004	252.89508
44.320004	571.8031
44.570004	1030.4786
44.820004	824.6649
45.070004	96.67844
45.320004	1451.5897
45.570004	571.5329
45.820004	727.1096
46.070004	904.05817
46.320004	3677.623
46.570004	4285.418
46.820004	1138.0369
47.070004	1118.6625
47.820004	904.325
48.070004	1460.42
48.320004	1092.5338
48.570004	1368.8889
48.820004	1307.1632
49.070004	1353.7422
49.320004	372.33496
49.570004	2099.7214
49.820004	6771.211
50.070004	2174.236
50.320004	477.39526
50.570004	477.39526
50.820004	477.39526
51.070004	477.39526
51.320004	477.39526
51.570004	477.39526
51.820004	477.39526
52.070004	477.39526
52.320004	477.39526
52.570004	477.39526
52.820004	477.39526
53.070004	477.39526
53.320004	477.39526
53.570004	477.39526
53.820004	477.39526
54.070004	477.39526
54.320004	477.39526
54.570004	477.39526
54.820004	477.39526
55.070004	1158.5302
55.320004	1350.6451
55.570004	1350.6451
55.820004	1350.6451
56.070004	1350.6451
56.320004	1350.6451
56.570004	1350.6451
56.820004	1350.6451
57.070004	1350.6451
57.320004	1350.6451
57.570004	1350.6451
57.820004	1350.6451
58.070004	1350.6451
58.320004	1350.6451
58.570004	1350.6451
58.820004	1350.6451
59.070004	1350.6451
59.320004	1350.6451
59.570004	1350.6451
59.820004	1350.6451
60.070004	1350.6451
60.320004	1350.6451
60.570004	1350.6451
60.820004	1350.6451
61.070004	1350.6451
61.320004	1350.6451
61.570004	1350.6451
61.820004	1350.6451
62.070004	1350.6451
62.320004	1350.6451
62.570004	1350.6451
62.820004	1350.6451
63.070004	1350.6451
