wavelength	flux
1.57	2738.5036699635693
1.82	4847.885183716369
2.0700002	3820.7950350018805
2.3200002	6262.008273308505
2.5700002	1016.7618231831801
2.8200002	3633.621745320905
3.0700002	3370.386511714628
3.3200002	7224.767011742594
3.5700002	4893.486473059033
3.8200002	5234.335941231693
4.07	9572.888327197255
4.32	7273.397915475593
4.57	5198.8676767676225
4.82	7954.382286447231
5.07	8897.904877423756
5.32	7049.38732309171
5.57	11324.577216104968
5.82	7948.3992145090515
6.07	10519.84928061717
6.32	10486.872177868012
6.5699997	6511.901482583267
6.8199997	6068.04096031189
7.0699997	9565.449350621771
7.3199997	8601.820758252357
7.5699997	8123.248780139161
7.8199997	5178.14706585682
8.07	5744.3214269216605
8.32	9435.950589719572
8.57	4971.710259853008
8.82	6332.135635785181
9.07	5415.637419361566
9.32	5312.478811380522
9.57	5988.825349639539
9.82	5304.947018653253
10.07	11356.749912205318
10.32	14426.539416855638
10.57	9216.239289084424
10.82	7087.346749270693
11.07	6732.944338011339
11.32	6934.669534361367
11.57	7070.464324226357
11.82	5709.356511588427
12.07	4789.975342193804
12.32	6560.615087887409
12.57	4074.344962666863
12.82	2907.496298425874
13.07	5705.760480682067
13.32	4228.453688224882
13.57	5729.9997757060755
13.82	4287.231003781444
14.07	6616.32322319406
14.32	6467.42291169201
14.57	7238.377667436488
14.82	21953.66872747246
15.07	9191.969055343154
15.32	14394.471436413713
15.57	5276.47863896968
15.82	8718.363336325818
16.07	8465.222156713891
16.32	9406.974101102505
16.57	6488.761701972719
16.82	29163.83920939611
17.07	145917.3193787272
17.32	58251.64533117051
17.57	75935.4164712075
17.82	59846.464808979916
18.07	102376.08214504328
18.32	32299.52104211022
18.57	47281.03321945591
18.82	99987.80356453339
19.07	36569.54952411874
19.32	108740.62370725894
19.57	90884.01461318921
19.82	25717.187569680314
20.07	63271.380809868584
20.32	76514.3893466381
20.57	18459.949779196057
20.82	26197.91573839653
21.07	62659.74616861476
21.32	17130.10732527724
21.57	15552.62542864112
21.82	29821.19889486165
22.07	35624.466907821814
22.32	32208.070953686798
22.57	42309.71921317399
22.82	28608.141768951733
23.07	11129.921516649276
23.32	17028.101184514202
23.57	14209.003346034133
23.82	14432.040558774932
24.07	23939.36081946431
24.32	34095.525478668234
24.57	20633.685014804207
24.82	13265.337960977939
25.07	16305.334670855744
25.32	21033.59649422977
25.57	55787.581172777005
25.820002	62021.01873064484
26.070002	20075.85280286876
26.320002	12459.587857869834
26.570002	22710.27505811142
26.820002	5178.960397135607
27.070002	16084.467928125932
27.320002	24645.42042580136
27.570002	21090.9592559346
27.820002	18479.096085378496
28.070002	9078.993949360118
28.320002	63162.038623262495
28.570002	52971.662882470926
28.820002	5326.190612880849
29.070002	11415.163400346386
29.320002	11475.320166210095
29.570002	13652.451521013065
29.820002	3621.2813619607437
30.070002	11515.314408024378
30.320002	308009.2287890628
30.570002	49340.32851981374
30.820002	9377.161672144037
31.070002	4085.8589252909333
31.320002	14424.766390366402
31.570002	20700.053323133565
31.820002	12225.341309874928
32.070004	15383.415634182651
32.320004	4466.6342131147
32.570004	3413.5995700748085
32.820004	6306.117364518615
33.070004	3352.3795832928895
33.320004	23641.880293188806
