#wavelength,flux
1.57,1554.7247
1.82,2747.7278
2.0700002,2169.4106
2.3200002,3545.0432
2.5700002,581.3934
2.8200002,2056.7832
3.0700002,1910.5726
3.3200002,4086.1907
3.5700002,2771.4194
3.8200002,2955.5688
4.07,5409.102
4.32,4125.4326
4.57,2940.548
4.82,4495.0806
5.07,5036.209
5.32,3988.3142
5.57,6398.5874
5.82,4492.8447
6.07,5943.617
6.32,5929.788
6.5699997,3684.2246
6.8199997,3431.3315
7.0699997,5407.206
7.3199997,4860.4087
7.5699997,4592.7036
7.8199997,2932.8733
8.07,3247.5122
8.32,5331.9346
8.57,2812.0864
8.82,3576.766
9.07,3059.7769
9.32,3003.6074
9.57,3383.6013
9.82,2995.0522
10.07,6419.275
10.32,8155.11
10.57,5209.803
10.82,4006.3723
11.07,3806.034
11.32,3920.0667
11.57,3996.8296
11.82,3227.4146
12.07,2707.7024
12.32,3708.6187
12.57,2303.167
12.82,1643.565
13.07,3225.3823
13.32,2390.2825
13.57,3239.084
13.82,2423.5083
14.07,3740.11
14.32,3655.9387
14.57,4091.7478
14.82,12410.084
15.07,5196.085
15.32,8136.9824
15.57,2982.715
15.82,4928.362
16.07,4785.265
16.32,5317.6235
16.57,3668.0005
16.82,16485.889
17.07,82484.914
17.32,32928.79
17.57,42925.168
17.82,33830.32
18.07,57871.684
18.32,18258.441
18.57,26727.27
18.82,56521.63
19.07,20672.225
19.32,61469.47
19.57,51375.387
19.82,14537.544
20.07,35766.375
20.32,43252.45
20.57,10435.137
20.82,14809.293
21.07,35420.63
21.32,9683.396
21.57,8791.67
21.82,16857.48
22.07,20137.984
22.32,18206.744
22.57,23917.059
22.82,16171.761
23.07,6291.5796
23.32,9625.734
23.57,8032.14
23.82,8158.219
24.07,13532.566
24.32,19273.697
24.57,11663.918
24.82,7498.6997
25.07,9217.164
25.32,11889.982
25.57,31535.895
25.820002,35059.562
26.070002,11348.582
26.320002,7043.2217
26.570002,12837.783
26.820002,2927.5898
27.070002,9092.312
27.320002,13931.691
27.570002,11922.408
27.820002,10445.961
28.070002,5132.2207
28.320002,35704.57
28.570002,29944.098
28.820002,3010.8167
29.070002,6452.8228
29.320002,6486.829
29.570002,7717.5283
29.820002,2047.057
30.070002,6509.437
30.320002,174113.06
30.570002,27891.354
30.820002,5300.771
31.070002,2309.6755
31.320002,8154.1064
