wavelength	flux
1.57	5291.382
1.82	4057.0319999999997
2.0700002	2822.6810125200004
2.3200002	1588.3310125200005
2.5700002	732.17809308
2.8200002	848.52809308
3.0700002	964.87809308
3.3200002	1081.22809308
3.5700002	1203.50011
3.8200002	1341.00011
4.07	1478.5000000000002
4.32	1616.0000000000002
4.57	1744.19
4.82	1848.44
5.07	1952.69
5.32	2056.94
5.57	2124.09
5.82	2095.84
6.07	2067.59
6.32	2039.34
6.5699997	1978.4701736999998
6.8199997	1833.7201736999998
7.0699997	1688.9701736999998
7.3199997	1544.2201736999998
7.5699997	1430.7600396
7.8199997	1397.7600396
8.07	1364.76
8.32	1331.76
8.57	1269.9129999999998
8.82	1133.888
9.07	997.8629999999998
9.32	861.8379999999999
9.57	732.3439999999998
9.82	619.6439999999999
10.07	506.9439999999999
10.32	394.2439999999999
10.57	302.068
10.82	262.66799999999995
11.07	223.26799999999997
11.32	183.86799999999997
11.57	150.29899999999998
11.82	131.724
12.07	113.14899999999997
12.32	94.57399999999998
12.57	81.8538
12.82	84.1888
13.07	86.52380000000001
13.32	88.8588
13.57	153.46720000000028
13.82	378.2072000000003
14.07	602.9472000000003
14.32	827.6872000000003
14.57	973.1899999999999
14.82	914.9399999999999
15.07	856.6899999999999
15.32	798.4399999999999
15.57	813.5150000000002
15.82	1017.1400000000002
16.07	1220.7650000000003
16.32	1424.3900000000003
16.57	3082.230000000006
16.82	8479.480000000007
17.07	13876.730000000007
17.32	19273.980000000007
17.57	22469.1
17.82	20001.6
18.07	17534.1
18.32	15066.599999999999
18.57	13019.31
18.82	12052.56
19.07	11085.81
19.32	10119.06
19.57	9397.17
19.82	9304.92
20.07	9212.67
20.32	9120.42
20.57	8724.789999999999
20.82	7549.039999999999
21.07	6373.289999999999
21.32	5197.539999999999
21.57	4378.16
21.82	4475.16
22.07	4572.16
22.32	4669.16
22.57	4481.259999999999
22.82	3560.759999999999
23.07	2640.259999999999
23.32	1719.7599999999989
23.57	1137.1500000000003
23.82	1423.4000000000003
24.07	1709.6500000000003
24.32	1995.9000000000003
24.57	2427.540000000001
24.82	3233.040000000001
25.07	4038.540000000001
25.32	4844.040000000001
25.57	5174.589999999999
25.820002	4283.832874000004
26.070002	3393.0828740000043
26.320002	2502.3328740000043
26.570002	2005.0641159999975
26.820002	2519.5641159999977
27.070002	3034.0641159999977
27.320002	3548.5641159999977
27.570002	3921.5900739999997
27.820002	3930.8400739999997
28.070002	3940.0900739999997
28.320002	3949.3400739999997
28.570002	3820.6861340000023
28.820002	3337.4361340000023
29.070002	2854.1861340000023
29.320002	2370.9361340000023
29.570002	3905.1437739999674
29.820002	10626.893773999967
30.070002	17348.643773999967
30.320002	24070.393773999967
30.570002	27271.39318400003
30.820002	21419.39318400003
31.070002	15567.393184000028
31.320002	9715.39318400003
31.570002	5632.483727999997
31.820002	6098.483727999997
32.070004	6564.487455999995
32.320004	7030.487455999995
32.570004	7357.2495
32.820004	7325.9995
33.070004	7294.7495
33.320004	7263.4995
33.570004	6958.673868000011
33.820004	5950.423868000011
34.070004	4942.173868000011
34.570004	3175.4481400000013
34.820004	3059.1981400000013
35.070004	2942.9481400000013
35.320004	2826.6981400000013
35.570004	2811.1838959999973
35.820004	3054.6838959999973
36.070004	3298.1838959999973
36.320004	3541.6838959999973
36.570004	3501.5626900000084
36.820004	2732.1876900000084
37.070004	1962.8126900000084
37.320004	1193.4376900000084
38.070004	431.277538800001
38.320004	339.952538800001
39.320004	270.509982
39.820004	328.1327303999995
40.070004	373.78273039999954
41.070004	671.523538399999
41.320004	767.673538399999
41.570004	793.8475400000017
41.820004	640.0975400000016
42.070004	486.34754000000163
42.570004	242.00514879999923
42.820004	313.80514879999924
43.070004	385.60514879999926
43.320004	457.40514879999927
43.570004	487.66477520000086
43.820004	411.11477520000085
44.320004	258.0147752000008
44.570004	204.31408079999994
44.820004	209.36408079999995
45.070004	214.41408079999994
45.320004	219.46408079999995
45.570004	263.7373219999984
45.820004	408.8623219999984
46.070004	553.9873219999985
46.320004	699.1123219999985
46.570004	769.7600664000013
46.820004	648.9100664000014
47.070004	528.0600664000012
47.820004	388.6488555999994
48.070004	442.12385559999944
48.320004	495.5988555999994
48.570004	625.0281955999965
48.820004	949.7531955999966
49.070004	1274.4781955999965
49.320004	1599.2031955999964
49.570004	1759.0617752000028
49.820004	1495.0117752000028
50.070004	1230.9617752000029
50.320004	966.9117752000028
50.570004	741.0069548000014
50.820004	613.1819548000013
51.070004	485.35695480000135
51.320004	357.53195480000136
51.570004	278.6607519999995
51.820004	325.6607519999995
52.070004	372.6607519999995
52.320004	419.6607519999995
52.570004	445.8905652000003
52.820004	418.7155652000003
53.070004	391.5405652000003
53.320004	364.36556520000033
53.570004	336.33651640000033
53.820004	306.11151640000037
54.070004	275.88651640000035
54.320004	245.66151640000032
54.570004	278.3001083999979
54.820004	472.57510839999793
55.070004	666.8501083999979
55.320004	861.1251083999979
55.570004	952.2212128000019
55.820004	778.0212128000019
56.070004	603.8212128000018
