wavelength	flux
1.65	0.018566
1.75	0.018229
1.85	0.029394
1.95	0.009732
2.05	0.002454
2.15	0.104729995
2.25	0.0034110001
2.3500001	0.0020448
2.45	0.010701
2.55	0.0026991
2.65	0.0039847
2.75	0.0026969998
2.8500001	0.015493
2.95	0.0081859
3.05	0.004233
3.15	0.0036752997
3.25	0.0044858996
3.3500001	0.034997
3.45	0.0068808
3.55	0.0065822997
3.65	0.0052203
3.75	0.0025237
3.8500001	0.0024208
3.95	0.007941
4.05	0.088879004
4.15	0.0034306
4.25	0.012109
4.35	0.014897
4.4500003	0.017532
4.55	0.0084518995
4.65	0.02383
4.75	0.017756
4.85	0.010187999
4.9500003	0.015278
5.05	0.045071997
5.15	0.0034254
5.25	0.018452
5.35	0.0054870006
5.4500003	0.014652
5.55	0.04873
5.65	0.019138
5.75	0.024512999
5.85	0.0019092999
5.9500003	0.0068718
6.05	0.020131
6.15	0.027687
6.25	0.021975001
6.35	0.021917
6.4500003	0.013704999
6.55	0.013410999
6.65	0.01701
6.75	0.021583
6.85	0.010778
6.9500003	0.034802
7.05	0.028486999
7.15	0.020616
7.25	0.035491
7.35	0.020492
7.4500003	0.026752
7.55	0.026092
7.65	0.015948001
7.75	0.020284
7.85	0.018289
7.9500003	0.015181
8.05	0.013707999
8.150001	0.025673002
8.25	0.030525
8.35	0.032774
8.45	0.022209
8.55	0.016992
8.650001	0.021841
8.75	0.021812001
8.85	0.019392999
8.95	0.017597001
9.05	0.017485999
9.150001	0.020641
9.25	0.019012
9.35	0.019605001
9.45	0.018128999
9.55	0.030191
9.650001	0.026678
9.75	0.022357002
9.85	0.023066001
9.95	0.013557
10.05	0.02061
10.150001	0.017394999
10.25	0.022386
10.35	0.032309
10.45	0.017688
10.55	0.018303001
10.650001	0.012208
10.75	0.0090554
10.85	0.009811699
10.95	0.0062021003
11.05	0.008375799
11.150001	0.018886
11.25	0.012033
11.35	0.015902
11.45	0.013957
11.55	0.0131129995
11.650001	0.017455999
11.75	0.013064999
11.85	0.0081276
11.95	0.0077174
12.05	0.0064205
12.150001	0.0068375003
12.25	0.009280601
12.35	0.0079802
12.45	0.0048096
12.55	0.0036364
12.650001	0.0030047
12.75	0.0066427
12.85	0.0052275998
12.95	0.0079133
13.05	0.012218
13.150001	0.013697
13.25	0.0057496
13.35	0.0062117004
13.45	0.0062369998
13.55	0.0046184002
13.650001	0.0063897
13.75	0.0057392
13.85	0.0061325002
13.95	0.0059454003
14.05	0.0081979
14.150001	0.0064121
14.25	0.0052372
14.35	0.008471
14.45	0.017641999
14.55	0.016185
14.650001	0.009368001
14.75	0.014107
14.85	0.039451003
14.95	0.01723
15.05	0.018927999
15.150001	0.013195001
15.25	0.013138
15.35	0.0064899
15.45	0.008510101
15.55	0.0052171997
15.650001	0.0042952
15.75	0.0072354004
15.85	0.012235
15.95	0.009157999
16.050001	0.0087608
16.15	0.0038455003
16.25	0.0056796
16.35	0.0036433002
16.45	0.0051125
16.550001	0.0083787
16.65	0.007763599
16.75	0.049536
16.85	0.071661
16.95	0.045119
17.050001	0.40681002
17.15	0.39458004
17.25	0.035198003
17.35	0.042572
17.45	0.49647003
17.550001	0.09570599
17.65	0.11251001
17.75	0.26518
17.85	0.032004002
17.95	0.049588002
18.050001	0.32503003
18.15	0.046303004
18.25	0.053084
18.35	0.025413
18.45	0.14698
18.550001	0.055156
18.65	0.059258003
18.75	0.074260995
18.85	0.24144
18.95	0.053855
19.050001	0.051609
19.15	0.033363998
19.25	0.104370005
19.35	0.12819001
19.45	0.077945
19.550001	0.12616
19.65	0.024985
19.75	0.026985
19.85	0.031457998
19.95	0.013948
20.050001	0.021855999
20.15	0.056658998
20.25	0.069281
20.35	0.030716002
20.45	0.020285
20.550001	0.013677999
20.65	0.022086
20.75	0.034215
20.85	0.021058
20.95	0.027768
21.050001	0.021845
21.15	0.029986
21.25	0.014545
21.35	0.012629
21.45	0.021259
21.550001	0.01761
21.65	0.042211
21.75	0.044978
21.85	0.027038
21.95	0.030302
22.050001	0.042479
22.15	0.029918
22.25	0.025683999
22.35	0.038346
22.45	0.073916
22.550001	0.073106
22.65	0.088825
22.75	0.065979004
22.85	0.039932996
22.95	0.027489001
23.050001	0.038108
23.15	0.023801
23.25	0.024132
23.35	0.045264
23.45	0.051285
23.550001	0.020695
23.65	0.024193
23.75	0.035738003
23.85	0.034196
23.95	0.012507999
24.050001	0.027647
24.15	0.098476
24.25	0.06528401
24.35	0.035182003
24.45	0.040225
24.550001	0.027639
24.65	0.015843999
24.75	0.019492
24.85	0.015898
24.95	0.010622
25.050001	0.0057287
25.15	0.01267
25.25	0.010201
25.35	0.01516
25.45	0.019008
25.550001	0.037439
25.65	0.22611
25.75	0.14477001
25.85	0.054927003
25.95	0.022585
26.050001	0.016884
26.15	0.017568
26.25	0.0025586002
26.35	0.0085569
26.45	0.028648002
26.550001	0.0063073
26.65	0.008487901
26.75	0.002891
26.85	0.0022274002
26.95	0.0027997
27.050001	0.0077168997
27.15	0.015746
27.25	0.020477
27.35	0.0052921004
27.45	0.011903
27.550001	0.022948999
27.65	0.031827
27.75	0.033457
27.85	0.021172
27.95	0.008183001
28.050001	0.0066716997
28.15	0.0037321998
28.25	0.0045268
28.35	0.015435
28.45	0.021712
28.550001	0.0047371997
28.65	0.0039934
28.75	0.0017876001
28.85	0.0029582998
28.95	0.0039312
29.050001	0.015859999
29.15	0.0066649
29.25	0.027676001
29.35	0.010159999
29.45	0.0031873002
29.550001	0.015009
29.65	0.033762
29.75	0.0019142001
29.85	0.0013738
29.95	0.0017621
30.050001	0.0033059
30.15	0.0021340998
30.25	0.011383999
30.35	3.3644998
30.45	0.70962006
30.550001	0.024401002
30.65	0.011483001
30.75	0.0072318
30.85	0.010854
30.95	0.0041827997
31.050001	0.0026274999
31.15	0.016534999
31.25	0.015151
31.35	0.030694999
31.45	0.060926996
31.550001	0.054511994
31.65	0.048163004
31.75	0.015253
31.85	0.0066341
31.95	0.055013
32.05	0.032921
32.15	0.005054
32.25	0.0038921998
32.350002	0.003591
32.45	0.0027041999
32.55	0.0029979
32.65	0.0043404996
32.75	0.002442
32.850002	0.0061631
32.95	0.0026195003
33.05	0.0025741002
33.15	0.0016696
33.25	0.0128460005
33.350002	0.0059005003
33.45	0.0069667
33.55	0.020786
33.65	0.0022703
33.75	0.0036868
33.850002	0.012132
33.95	0.01072
34.05	0.0050423997
34.15	0.025937
34.25	0.032184
34.350002	0.0024517998
34.45	0.014994
34.55	0.057296004
34.65	0.01274
34.75	0.048479
34.850002	0.018221999
34.95	0.04439
35.05	0.021853
35.15	0.006969
35.25	0.041204996
35.350002	0.010169
35.45	0.013386999
35.55	0.0098953005
35.65	0.019593
35.75	0.0036422
35.850002	0.012419
35.95	0.011987001
36.05	0.011948999
36.15	0.0059451
36.25	0.0021104
36.350002	0.0034961
36.45	0.026433999
36.55	0.022513
36.65	0.0027035
36.75	0.092301
36.850002	0.17867
36.95	0.012923
37.05	0.0029139
37.15	0.0024263
37.25	0.0021467
37.350002	0.006608
37.45	0.009733999
37.55	0.0022021001
37.65	0.011474
37.75	0.0034745
37.850002	0.0023278
37.95	0.0052189995
38.05	0.0023859
38.15	0.0025878
38.25	0.0023628
38.350002	0.0035536
38.45	0.0042209
38.55	0.0032498
38.65	0.0025892
38.75	0.0029932
38.850002	0.0026605001
38.95	0.0024734
39.05	0.0028889
39.15	0.0023318
39.25	0.0035968001
39.350002	0.0025044
39.45	0.0022532
39.55	0.0029989998
39.65	0.0019287999
39.75	0.0018917
39.850002	0.0021916002
39.95	0.0051422
40.05	0.0090359
40.15	0.015874
40.25	0.010736
40.350002	0.008504201
40.45	0.0020263998
40.55	0.0023406001
40.65	0.0027710001
40.75	0.0023051
40.850002	0.0021761
40.95	0.0018854999
41.05	0.0035636001
41.15	0.0049082
41.25	0.0022546002
41.350002	0.0019822
41.45	0.002148
41.55	0.0035600998
41.65	0.0060027
41.75	0.0027168002
41.850002	0.0021886998
41.95	0.0054367003
42.05	0.002792
42.15	0.0031474999
42.25	0.0022626
42.350002	0.0018875
42.45	0.0018628
42.55	0.0018479
42.65	0.0019136
42.75	0.0023036
42.850002	0.0033926
42.95	0.0071028997
43.05	0.025422
43.15	0.0092168
43.25	0.0031134
43.350002	0.0038760998
43.45	0.013292
43.55	0.014444001
43.65	0.041278
43.75	0.011903999
43.850002	0.0034015
43.95	0.0032138
44.05	0.0030306
44.15	0.0024672998
44.25	0.0022634
44.350002	0.006754
44.45	0.0049678003
44.55	0.0024066002
44.65	0.0024169001
44.75	0.0031873002
44.850002	0.0035162
44.95	0.0018373001
45.05	0.0020947
45.15	0.0027459
45.25	0.0030880999
45.350002	0.0021634
45.45	0.0022910999
45.55	0.0023606
45.65	0.0026924
45.75	0.0026902
45.850002	0.0035426999
45.95	0.010883
46.05	0.0053137
46.15	0.0040428
46.25	0.0036546001
46.350002	0.0031745
46.45	0.043177
46.55	0.099788
46.65	0.013036001
46.75	0.0036946998
46.850002	0.0033827
46.95	0.008672601
47.05	0.0065317
47.15	0.0036824998
47.25	0.0036122
47.350002	0.0039800005
47.45	0.0037845
47.55	0.0045927
47.65	0.0043389
47.75	0.0045573004
47.850002	0.0048197997
47.95	0.0058074007
48.05	0.0080842
48.15	0.010142
48.25	0.010929001
48.350002	0.01104
48.45	0.0071517
48.55	0.0078161005
48.65	0.0088497
48.75	0.009170299
48.850002	0.0108159995
48.95	0.014356
49.05	0.012
49.15	0.011743
49.25	0.0112000005
49.350002	0.011298
49.45	0.011649
49.55	0.012551
49.65	0.012884
49.75	0.013389
49.850002	0.016222
49.95	0.025081001
50.05	0.017386
50.15	0.016647
50.25	0.017502999
50.350002	0.018346
50.45	0.018304
50.55	0.014156001
50.65	0.012128
50.75	0.029979002
50.850002	0.02643
50.95	0.0067598
51.05	0.0049487995
51.15	0.0048357
51.25	0.0053839996
51.350002	0.00075149
51.45	0.0014311001
51.55	0.0088426005
51.65	0.0016238999
51.75	0.00077819
51.850002	0.0011312
51.95	0.0019591001
52.05	0.0053020995
52.15	0.0087622
52.25	0.012460999
52.350002	0.0010759999
52.45	0.0014077
52.55	0.016815
52.65	0.0065822997
52.75	0.0010307
52.850002	0.00074765
52.95	0.00085272006
53.05	0.00086057995
53.15	0.00066877
53.25	0.00072361
53.350002	0.0011483
53.45	0.0013546001
53.55	0.0017203001
53.65	0.028964
53.75	0.033150002
53.850002	0.016209
53.95	0.0076455
54.05	0.0028419
54.15	0.0051782
54.25	0.0044507002
54.350002	0.0065313997
54.45	0.0036762
54.55	0.00074118
54.65	0.00054801
54.75	0.00072357
54.850002	0.0011554001
54.95	0.0030154
55.05	0.0033121
55.15	0.0020375
55.25	0.0075249
55.350002	0.060635
55.45	0.15706001
55.55	0.043811
55.65	0.0019449001
55.75	0.012264
55.850002	0.015751
55.95	0.0029392
56.05	0.0021433
56.15	0.0071886997
56.25	0.016853001
56.350002	0.0083745
56.45	0.0023162
56.55	0.0010901
56.65	0.00086512003
56.75	0.0016148
56.850002	0.0039953003
56.95	0.0062129
57.05	0.0029766
57.15	0.0035774999
57.25	0.009288801
57.350002	0.0054196
57.45	0.0057339
57.55	0.0010493
57.65	0.00068717997
57.75	0.00069059
57.850002	0.00068989
57.95	0.00076692994
58.05	0.0037619001
58.15	0.0029569
58.25	0.0022766
58.350002	0.090563
58.45	0.36429
58.55	0.035428
58.65	0.001801
58.75	0.00081228
58.850002	0.00070414005
58.95	0.00071987
59.05	0.00068339
59.15	0.0012256999
59.25	0.0018885
59.350002	0.0011756
59.45	0.0010841
59.55	0.001088
59.65	0.0014866999
59.75	0.0031879
59.850002	0.0047812
59.95	0.042738
60.05	0.010946
60.15	0.001098
60.25	0.000889
60.350002	0.00089319004
60.45	0.0009789199
60.55	0.00076032005
60.65	0.00074898003
60.75	0.004007
60.850002	0.022151
60.95	0.12031
61.05	0.058896996
61.15	0.0014536
61.25	0.0007862201
61.350002	0.00069417
61.45	0.00068028
61.55	0.0013885
61.65	0.004956
61.75	0.0026933001
61.850002	0.00077428
61.95	0.0007204
62.05	0.0010612
62.15	0.0013837
62.25	0.00087878
62.350002	0.0016694001
62.45	0.038723
62.55	0.033039
62.65	0.0015647
62.75	0.0013233
62.850002	0.018131
62.95	0.42788
63.05	0.17041999
63.15	0.002297
63.25	0.001191
63.350002	0.0010599
63.45	0.00095315
63.55	0.0010559
63.65	0.0012145
63.75	0.001624
63.850002	0.0023688
63.95	0.0017882
64.05	0.0010243
64.15	0.00119
64.25	0.0011317
64.35	0.0016121
64.450005	0.0033582002
64.55	0.0016062001
64.65	0.00094625994
64.75	0.00089704
64.85	0.0011691999
64.950005	0.0012835
65.05	0.0012132
65.15	0.001364
65.25	0.0010479
65.35	0.00097056996
65.450005	0.0011462
65.55	0.0012735999
65.65	0.0023906
65.75	0.0045368
65.85	0.0019215
65.950005	0.0019012999
66.05	0.0036443002
66.15	0.0082429
66.25	0.0028441
66.35	0.0024167001
66.450005	0.001225
66.55	0.0010968001
66.65	0.0012122
66.75	0.0012740002
66.85	0.0012142
66.950005	0.0012939
67.05	0.0018071
67.15	0.0023613
67.25	0.0018203
67.35	0.0016666
67.450005	0.0014824
67.55	0.0015934999
67.65	0.0025186
67.75	0.002214
67.85	0.0022682
67.950005	0.0020631002
68.05	0.0048493
68.15	0.0066237003
68.25	0.0030702
68.35	0.0027827
68.450005	0.0056053
68.55	0.022085
68.65	0.013316
68.75	0.0044728997
68.85	0.0020995
68.950005	0.0024786
69.05	0.0037411
69.15	0.0028505002
69.25	0.0019608
69.35	0.0029741
69.450005	0.0055383
69.55	0.0027372001
69.65	0.0027822
69.75	0.002319
69.85	0.0019779
69.950005	0.0033421
70.05	0.0046250997
70.15	0.0057962
70.25	0.036522
70.35	0.050726004
70.450005	0.022492
70.55	0.0083733
70.65	0.0088027995
70.75	0.0022418
70.85	0.0023935
70.950005	0.0023561
71.05	0.0028203998
71.15	0.0027424002
71.25	0.0032073
71.35	0.0037023001
71.450005	0.0031855002
71.55	0.0024925
71.65	0.0024267999
71.75	0.0046113
71.85	0.014524
71.950005	0.0045986995
72.05	0.0024227
72.15	0.0032590001
72.25	0.002778
72.35	0.0029375998
72.450005	0.0028955
72.55	0.00305
72.65	0.0031404
72.75	0.0029542
72.85	0.0033414
72.950005	0.0033169999
73.05	0.0028295
73.15	0.0030127002
73.25	0.0034470998
73.35	0.0033832001
73.450005	0.0031822
73.55	0.0034643002
73.65	0.0035027
73.75	0.0032056002
73.85	0.0036211
73.950005	0.0033975
74.05	0.0035091
74.15	0.0030777
74.25	0.0034574
74.35	0.0036419
74.450005	0.0045549
74.55	0.0044742
74.65	0.0038909002
74.75	0.0041782
74.85	0.0057925
74.950005	0.0074145
75.05	0.0090793
75.15	0.004165
75.25	0.0036437
75.35	0.0049981
75.450005	0.0046623
75.55	0.0040349
75.65	0.0039785
75.75	0.0046442
75.85	0.010734
75.950005	0.014486
76.05	0.023578
76.15	0.010153
76.25	0.0079972
76.35	0.0087170005
76.450005	0.041495003
76.55	0.058414
76.65	0.0074028997
76.75	0.0051952004
76.85	0.0053013
76.950005	0.025485
77.05	0.08740799
77.15	0.017896
77.25	0.008114699
77.35	0.0057398006
77.450005	0.0067044003
77.55	0.0069750003
77.65	0.0070464
77.75	0.0061779004
77.85	0.0061330004
77.950005	0.020433001
78.05	0.048460998
78.15	0.0108
78.25	0.0077161
78.35	0.0063979
78.450005	0.006186
78.55	0.011026001
78.65	0.036353998
78.75	0.059106
78.85	0.01921
78.950005	0.048919
79.05	0.092130005
79.15	0.011811
79.25	0.0069407
79.35	0.0072712004
79.450005	0.0074603
79.55	0.0077466005
79.65	0.0089617
79.75	0.0079007
79.85	0.007858399
79.950005	0.008478001
80.05	0.0086504
80.15	0.008663099
80.25	0.0088336
80.35	0.0088663995
80.450005	0.0087111
80.55	0.008744
80.65	0.010439
80.75	0.0096905
80.85	0.0095703
80.950005	0.010349
81.05	0.010128001
81.15	0.009987101
81.25	0.010496
81.35	0.010714
81.450005	0.0104290005
81.55	0.011783
81.65	0.011448
81.75	0.011789
81.85	0.012241
81.950005	0.011737
82.05	0.011940001
82.15	0.011723
82.25	0.012852
82.35	0.012639999
82.450005	0.012216
82.55	0.012319
82.65	0.012546
82.75	0.0130859995
82.85	0.012969
82.950005	0.013927
83.05	0.013448
83.15	0.014602999
83.25	0.041607
83.35	0.08377801
83.450005	0.077956
83.55	0.077716
83.65	0.019857999
83.75	0.016137999
83.85	0.016745
83.950005	0.016886
84.05	0.016718
84.15	0.016345
84.25	0.016956002
84.35	0.017567
84.450005	0.017816
84.55	0.017996
84.65	0.018158
84.75	0.018397
84.85	0.018734999
84.950005	0.019411
85.05	0.018999001
85.15	0.019298999
85.25	0.019335
85.35	0.019306999
85.450005	0.020871999
85.55	0.020852
85.65	0.020585
85.75	0.021862
85.85	0.02472
85.950005	0.023477001
86.05	0.022861
86.15	0.02317
86.25	0.023144001
86.35	0.023495
86.450005	0.023262
86.55	0.023056
86.65	0.022839999
86.75	0.024544999
86.85	0.024816
86.950005	0.025013
87.05	0.025324
87.15	0.025287999
87.25	0.025573999
87.35	0.025826002
87.450005	0.026012
87.55	0.02703
87.65	0.027270999
87.75	0.026958998
87.85	0.027327
87.950005	0.027901
88.05	0.029388
88.15	0.029450001
88.25	0.030478999
88.35	0.030810999
88.450005	0.030562002
88.55	0.031267002
88.65	0.031025
88.75	0.031863
88.85	0.032535
88.950005	0.032847002
89.05	0.033761
89.15	0.034415998
89.25	0.034431998
89.35	0.035051998
89.450005	0.038155
89.55	0.04076
89.65	0.036427002
89.75	0.036515
89.85	0.037484996
89.950005	0.038140997
90.05	0.039175
90.15	0.039927
90.25	0.041451
90.35	0.061772995
90.450005	0.064926
90.55	0.042884
90.65	0.043109998
90.75	0.043167002
90.85	0.043976
90.950005	0.044052996
91.05	0.045281
91.15	0.045709
91.25	0.046445996
91.35	0.04439
91.450005	0.039582998
91.55	0.037154
91.65	0.037461
91.75	0.020259
91.85	0.014308
91.950005	0.015391001
92.05	0.011728
92.15	0.014262
92.25	0.017149
92.35	0.019779
92.450005	0.0064720004
92.55	0.0090067
92.65	0.017744001
92.75	0.0031397
92.85	0.002757
92.950005	0.0040624
93.05	0.020546
93.15	0.011391001
93.25	0.0052803997
93.35	0.020806
93.450005	0.003912
93.55	0.002425
93.65	0.0040943
93.75	0.033768
93.85	0.01451
93.950005	0.0029628
94.05	0.0023524999
94.15	0.0024014
94.25	0.0030659
94.35	0.0038684998
94.450005	0.013355
94.55	0.0045458
94.65	0.0024625002
94.75	0.0025287
94.85	0.0074680997
94.950005	0.050656
95.05	0.029631
95.15	0.0035654
95.25	0.0027261002
95.35	0.0028637
95.450005	0.0025052
95.55	0.0023092001
95.65	0.002324
95.75	0.0024718
95.85	0.0036853002
95.950005	0.0027655
96.05	0.0022091998
96.15	0.0026186998
96.25	0.0025546001
96.35	0.002565
96.450005	0.0030382
96.55	0.002598
96.65	0.0021577
96.75	0.0025108
96.85	0.0025191999
96.950005	0.0024988002
97.05	0.0032585
97.15	0.019377999
97.25	0.116170004
97.35	0.019566998
97.450005	0.0037337
97.55	0.0045002997
97.65	0.4818
97.75	0.52624
97.85	0.005112
97.950005	0.0032111
98.05	0.0033056997
98.15	0.0039663
98.25	0.002636
98.35	0.0035111
98.450005	0.0034597002
98.55	0.0032321
98.65	0.0031675
98.75	0.0032361
98.85	0.012862001
98.950005	0.026157
99.05	0.022924
99.15	0.053062998
99.25	0.0144030005
99.35	0.0046319
99.450005	0.0054319
99.55	0.0043533
99.65	0.0035525
99.75	0.0047004
99.85	0.0039505
99.950005	0.0082315
100.05	0.0049062003
100.15	0.0031205
100.25	0.0029372
100.35	0.002898
100.450005	0.0030552002
100.55	0.0043025995
100.65	0.0046686
100.75	0.0026314002
100.85	0.0042575
100.950005	0.0071917996
101.05	0.009297299
101.15	0.0034745
101.25	0.004264
101.35	0.0034937998
101.450005	0.0036769
101.55	0.0049438
101.65	0.0043148003
101.75	0.0059674
101.85	0.0044950997
101.950005	0.0040654
102.05	0.0052349
102.15	0.0073387004
102.25	0.0045085996
102.35	0.0067208996
102.450005	0.036307
102.55	0.38586003
102.65	0.19325
102.75	0.028150998
102.85	0.011543
102.950005	0.0052987
103.05	0.0067586005
103.15	0.22929999
103.25	0.16738999
103.35	0.0056039
103.450005	0.0048051
103.55	0.012225
103.65	0.068283
103.75	0.21138999
103.85	0.031479
103.950005	0.0068578003
104.05	0.0065516
104.15	0.008226301
104.25	0.0051211
104.35	0.0048857
104.450005	0.0053010997
104.55	0.0052603995
104.65	0.0048589
104.75	0.0049845995
104.85	0.0050573
104.950005	0.0056299996
105.05	0.0055568996
105.15	0.0055041
105.25	0.0056600003
105.35	0.0059654
105.450005	0.0062119
105.55	0.0059976
105.65	0.0054846
105.75	0.00558
105.85	0.0056762006
105.950005	0.0057731997
106.05	0.0058709
106.15	0.0059693004
106.25	0.0060686003
106.35	0.0061686
106.450005	0.0062693
106.55	0.0065577
106.65	0.0071428
106.75	0.0075784
106.85	0.0066804
106.950005	0.0067851
107.05	0.0068907
107.15	0.0069971005
107.25	0.008817901
107.35	0.010796001
107.450005	0.011531001
107.55	0.0093177
107.65	0.0080915
107.75	0.0078322
107.85	0.0077654
107.950005	0.0078786
108.05	0.007992701
108.15	0.008107699
108.25	0.0082235
108.35	0.015567001
108.450005	0.024241999
108.55	0.0303
108.65	0.02703
108.75	0.01597
108.85	0.011022
108.950005	0.0090602
109.05	0.0091835
109.15	0.009307699
109.25	0.010275001
109.35	0.0095591005
109.450005	0.0096863
109.55	0.012143001
109.65	0.0126249995
109.75	0.011625
109.85	0.010205
109.950005	0.010337001
110.05	0.010470001
110.15	0.012921001
110.25	0.012921001
110.35	0.012921001
110.450005	0.012921001
110.55	0.012921001
110.65	0.015388
110.75	0.015388
110.85	0.015388
110.950005	0.015388
111.05	0.015388
111.15	0.015388
111.25	0.015388
111.35	0.015106
111.450005	0.014773
111.55	0.011505
111.65	0.010546
111.75	0.011162
111.85	0.010705
111.950005	0.0092927
112.05	0.008003101
112.15	0.011134
112.25	0.016914
112.35	0.015673
112.450005	0.013487
112.55	0.01274
112.65	0.013406999
112.75	0.015486999
112.85	0.017572
112.950005	0.017481
113.05	0.0078876
113.15	0.0070867
113.25	0.0072819
113.35	0.0074825007
113.450005	0.0076885996
113.55	0.007900501
113.65	0.0081180995
113.75	0.0083417995
113.85	0.008571601
113.950005	0.0088077
114.05	0.0090504
114.15	0.0092998
114.25	0.009556
114.35	0.0098192
114.450005	0.01009
114.55	0.010368001
114.65	0.010652999
114.75	0.010946
114.85	0.011248999
